Topic,Count,Name,Representation,Representative_Docs
-1,3888,-1_change_director_secretary_or,"['change', 'director', 'secretary', 'or', 'return', 'annual', 'registered', 'filing', 'other', 'charge']","['6 annual returns. 6 director or secretary changes. 2 registered office changes. recent sequence: other filing; special resolution; director or secretary change; director or secretary change; registered office change; director or secretary change; annual return; annual return; registered office change; annual return; other filing; annual return; director or secretary change; annual return; director or secretary change; director or secretary change; annual return', '6 annual returns. 7 director or secretary changes. 2 charge registereds. 1 registered office change. recent sequence: other filing; other filing; special resolution; registered office change; director or secretary change; director or secretary change; annual return without accounts; charge registered; annual return; other filing; annual return; director or secretary change; director or secretary change; annual return; director or secretary change; annual return; charge registered; director or secretary change; other filing; annual return; director or secretary change; other filing', '7 annual returns. 4 director or secretary changes. 1 registered office change. recent sequence: other filing; director or secretary change; annual return; registered office change; annual return; other filing; annual return; annual return; annual return; director or secretary change; special resolution; annual return; director or secretary change; director or secretary change; annual return']"
0,13341,0_annual_return_director_or,"['annual', 'return', 'director', 'or', 'secretary', 'change', 'changes', 'other', 'filing', 'registered']","['9 annual returns. 2 director or secretary changes. 1 registered office change. recent sequence: other filing; director or secretary change; other filing; annual return without accounts; annual return; annual return; annual return; annual return; annual return; director or secretary change; annual return; annual return; registered office change; annual return', '9 annual returns. 4 director or secretary changes. 2 registered office changes. recent sequence: other filing; registered office change; annual return without accounts; director or secretary change; annual return; annual return; director or secretary change; annual return; annual return; director or secretary change; other filing; registered office change; annual return; annual return; director or secretary change; other filing; annual return; annual return', '9 annual returns. 3 director or secretary changes. 1 registered office change. recent sequence: other filing; director or secretary change; registered office change; annual return without accounts; director or secretary change; other filing; annual return; annual return; annual return; annual return; annual return; director or secretary change; annual return; annual return; annual return']"
1,3628,1_recent_sequence_returns_annual,"['recent', 'sequence', 'returns', 'annual', 'other', 'filing', 'return', 'resolution', 'special', 'accounts']","['4 annual returns. recent sequence: other filing; annual return; annual return; annual return; annual return', '4 annual returns. recent sequence: other filing; annual return; annual return; annual return; annual return', '4 annual returns. recent sequence: other filing; annual return; annual return; annual return; annual return']"
2,2410,2_limited_private_to_conversion,"['limited', 'private', 'to', 'conversion', 'return', 'annual', 'or', 'secretary', 'director', 'change']","['14 annual returns. 2 director or secretary changes. 1 registered office change. 1 conversion to private limited. recent sequence: annual return; conversion to private limited; annual return; director or secretary change; annual return; other filing; annual return; annual return; annual return; annual return; annual return; annual return; director or secretary change; annual return; annual return; registered office change; annual return', '13 annual returns. 2 director or secretary changes. 1 registered office change. 1 conversion to private limited. recent sequence: conversion to private limited; director or secretary change; annual return; annual return; annual return; annual return; annual return; annual return; other filing; annual return; annual return; registered office change; director or secretary change; annual return; annual return', '13 annual returns. 3 director or secretary changes. 1 registered office change. 1 conversion to private limited. recent sequence: annual return; conversion to private limited; annual return; other filing; annual return; annual return; director or secretary change; annual return; annual return; annual return; registered office change; annual return; annual return; director or secretary change; director or secretary change; annual return']"
3,1674,3_annual_return_accounts_without,"['annual', 'return', 'accounts', 'without', 'other', 'filing', 'returns', 'recent', 'sequence', '10']","['8 annual returns. recent sequence: other filing; annual return without accounts; annual return; annual return; annual return; annual return; annual return; annual return; annual return', '8 annual returns. recent sequence: other filing; annual return without accounts; annual return; annual return; annual return; annual return; annual return; annual return; annual return', '8 annual returns. recent sequence: other filing; annual return without accounts; annual return; annual return; annual return; annual return; annual return; annual return; annual return']"
4,1013,4_return_annual_changes_recent,"['return', 'annual', 'changes', 'recent', 'sequence', 'returns', 'or', 'director', 'secretary', '13']","['12 annual returns. 3 director or secretary changes. recent sequence: annual return; annual return; annual return; annual return; annual return; annual return; director or secretary change; annual return; annual return; director or secretary change; annual return; annual return; annual return', '13 annual returns. 3 director or secretary changes. recent sequence: annual return; annual return; director or secretary change; annual return; annual return; annual return; director or secretary change; annual return; annual return; annual return; annual return; annual return; annual return', '13 annual returns. 5 director or secretary changes. recent sequence: annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return; director or secretary change; director or secretary change; annual return; annual return; annual return']"
5,695,5_office_annual_return_registered,"['office', 'annual', 'return', 'registered', 'without', 'accounts', 'other', 'filing', 'recent', 'returns']","['9 annual returns. 1 registered office change. recent sequence: other filing; annual return without accounts; annual return; annual return; other filing; registered office change; annual return; annual return; annual return; annual return; annual return; annual return', '9 annual returns. 1 registered office change. recent sequence: other filing; annual return without accounts; registered office change; other filing; annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return', '9 annual returns. 1 registered office change. recent sequence: other filing; other filing; annual return without accounts; annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return; registered office change']"
6,532,6_office_registered_other_filing,"['office', 'registered', 'other', 'filing', 'sequence', 'returns', 'recent', 'annual', 'change', 'return']","['4 annual returns. 1 registered office change. recent sequence: other filing; annual return; annual return; registered office change; annual return; annual return', '4 annual returns. 1 registered office change. recent sequence: other filing; registered office change; annual return; annual return; annual return; annual return', '4 annual returns. 1 registered office change. recent sequence: other filing; annual return; annual return; annual return; annual return; registered office change']"
7,359,7_strike_off_notice_annual,"['strike', 'off', 'notice', 'annual', 'return', 'office', 'changes', 'change', 'director', 'or']","['5 annual returns. 1 director or secretary changes. 1 registered office change. 1 strike off notice. recent sequence: other filing; annual return; annual return; registered office change; director or secretary change; annual return; annual return; annual return; strike off notice', '5 annual returns. 1 director or secretary changes. 1 registered office change. 1 strike off notice. recent sequence: other filing; annual return; annual return; registered office change; director or secretary change; annual return; annual return; annual return; strike off notice', '5 annual returns. 1 director or secretary changes. 1 registered office change. 1 strike off notice. recent sequence: other filing; annual return; director or secretary change; annual return; annual return; annual return; registered office change; annual return; strike off notice']"
8,343,8_director_or_secretary_change,"['director', 'or', 'secretary', 'change', 'return', 'annual', 'office', 'other', 'filing', 'registered']","['8 annual returns. 41 director or secretary changes. 1 registered office change. recent sequence: other filing; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return without accounts; director or secretary change; director or secretary change; other filing; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; registered office change; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change', '10 annual returns. 48 director or secretary changes. 2 registered office changes. recent sequence: director or secretary change; director or secretary change; director or secretary change; other filing; other filing; director or secretary change; annual return without accounts; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; registered office change; annual return; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; annual return; director or secretary change; other filing; director or secretary change; director or secretary change; annual return; other filing; other filing; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; registered office change; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; special resolution; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change', '22 annual returns. 117 director or secretary changes. 1 registered office change. 1 auditor resignation. recent sequence: director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; annual return; annual return; director or secretary change; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; other filing; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; registered office change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; special resolution; director or secretary change; director or secretary change; director or secretary change; director or secretary change; auditor resignation']"
9,261,9_return_annual_sequence_recent,"['return', 'annual', 'sequence', 'recent', 'returns', '11', '14', '12', '13', '15']","['11 annual returns. recent sequence: annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return', '11 annual returns. recent sequence: annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return', '11 annual returns. recent sequence: annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return']"
10,207,10_notice_off_strike_annual,"['notice', 'off', 'strike', 'annual', 'return', 'sequence', 'returns', 'recent', 'other', 'filing']","['5 annual returns. 1 strike off notice. recent sequence: other filing; annual return; annual return; annual return; annual return; annual return; strike off notice', '5 annual returns. 1 strike off notice. recent sequence: other filing; annual return; annual return; annual return; annual return; annual return; strike off notice', '5 annual returns. 1 strike off notice. recent sequence: other filing; annual return; annual return; annual return; annual return; annual return; strike off notice']"
11,130,11_to_conversion_limited_private,"['to', 'conversion', 'limited', 'private', 'return', 'annual', 'recent', 'returns', 'sequence', 'other']","['12 annual returns. 1 conversion to private limited. recent sequence: annual return; conversion to private limited; annual return; annual return; annual return; other filing; annual return; annual return; annual return; annual return; annual return; annual return', '12 annual returns. 1 conversion to private limited. recent sequence: annual return; conversion to private limited; annual return; annual return; annual return; annual return; other filing; annual return; annual return; annual return; annual return; annual return; annual return', '12 annual returns. 1 conversion to private limited. recent sequence: annual return; conversion to private limited; annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return; annual return; other filing; annual return']"
12,102,12_capital_reorganisation_resolution_special,"['capital', 'reorganisation', 'resolution', 'special', 'other', 'filing', 'annual', 'return', 'ordinary', 'recent']","['4 annual returns. recent sequence: other filing; annual return; special resolution; capital reorganisation; other filing; annual return; annual return; annual return', '4 annual returns. recent sequence: other filing; annual return; annual return; annual return; annual return; special resolution; capital reorganisation; other filing', '8 annual returns. recent sequence: other filing; other filing; other filing; capital reorganisation; annual return without accounts; annual return; annual return; annual return; annual return; annual return; other filing; annual return; other filing; annual return; capital reorganisation; special resolution; special resolution']"
13,91,13_charge_registered_return_annual,"['charge', 'registered', 'return', 'annual', 'registereds', 'accounts', 'without', 'recent', 'sequence', 'returns']","['8 annual returns. 3 charge registereds. recent sequence: other filing; charge registered; charge registered; charge registered; annual return without accounts; annual return; annual return; annual return; annual return; annual return; annual return; annual return', '9 annual returns. 3 charge registereds. recent sequence: other filing; annual return without accounts; annual return; charge registered; charge registered; annual return; annual return; annual return; annual return; charge registered; annual return; annual return; annual return', '9 annual returns. 3 charge registereds. recent sequence: other filing; annual return without accounts; annual return; annual return; annual return; annual return; charge registered; annual return; charge registered; charge registered; annual return; annual return; annual return']"
14,90,14_charge_registered_office_annual,"['charge', 'registered', 'office', 'annual', 'return', 'other', 'filing', 'registereds', 'sequence', 'returns']","['5 annual returns. 4 charge registereds. 1 registered office change. recent sequence: other filing; annual return; registered office change; annual return; annual return; annual return; other filing; special resolution; charge registered; charge registered; charge registered; charge registered; annual return', '8 annual returns. 3 charge registereds. 1 registered office change. recent sequence: other filing; charge registered; annual return without accounts; other filing; annual return; other filing; annual return; annual return; registered office change; annual return; annual return; charge registered; charge registered; annual return; annual return', '8 annual returns. 4 charge registereds. 1 registered office change. recent sequence: other filing; annual return without accounts; other filing; charge registered; charge registered; charge registered; charge registered; annual return; annual return; other filing; annual return; annual return; annual return; registered office change; annual return; annual return']"
15,79,15_charge_registered_capital_reorganisation,"['charge', 'registered', 'capital', 'reorganisation', 'director', 'or', 'secretary', 'change', 'other', 'filing']","['10 annual returns. 41 director or secretary changes. 110 charge registereds. 2 registered office changes. recent sequence: other filing; director or secretary change; director or secretary change; director or secretary change; charge registered; other filing; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; director or secretary change; director or secretary change; annual return without accounts; charge registered; charge registered; charge registered; charge registered; director or secretary change; other filing; director or secretary change; director or secretary change; charge registered; director or secretary change; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; other filing; capital reorganisation; other filing; annual return; other filing; annual return; registered office change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; other filing; director or secretary change; director or secretary change; director or secretary change; charge registered; charge registered; charge registered; annual return; other filing; director or secretary change; annual return; charge registered; other filing; director or secretary change; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; director or secretary change; charge registered; charge registered; charge registered; charge registered; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; special resolution; charge registered; charge registered; charge registered; charge registered; director or secretary change; director or secretary change; registered office change; director or secretary change; director or secretary change; director or secretary change; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; annual return; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; annual return; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; director or secretary change; charge registered; charge registered; charge registered; charge registered; annual return; other filing', '13 annual returns. 36 director or secretary changes. 59 charge registereds. 3 registered office changes. 1 auditor resignation. 1 conversion to private limited. recent sequence: conversion to private limited; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; director or secretary change; charge registered; charge registered; annual return; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; director or secretary change; director or secretary change; director or secretary change; director or secretary change; special resolution; other filing; special resolution; other filing; other filing; other filing; registered office change; charge registered; charge registered; charge registered; charge registered; other filing; charge registered; auditor resignation; registered office change; director or secretary change; other filing; capital reorganisation; special resolution; other filing; capital reorganisation; ordinary resolution; annual return; director or secretary change; director or secretary change; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; other filing; charge registered; annual return; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change; director or secretary change; charge registered; charge registered; director or secretary change; director or secretary change; charge registered; charge registered; annual return; special resolution; director or secretary change; director or secretary change; director or secretary change; director or secretary change; annual return; charge registered; director or secretary change; other filing; charge registered; charge registered; special resolution; other filing; charge registered; charge registered; director or secretary change; annual return; annual return; annual return; director or secretary change; director or secretary change; charge registered; charge registered; charge registered; charge registered; annual return; other filing; director or secretary change', '8 annual returns. 10 director or secretary changes. 46 charge registereds. recent sequence: other filing; other filing; director or secretary change; charge registered; charge registered; charge registered; charge registered; director or secretary change; charge registered; charge registered; charge registered; charge registered; charge registered; annual return without accounts; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; other filing; other filing; other filing; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; annual return; annual return; annual return; annual return; charge registered; charge registered; charge registered; director or secretary change; director or secretary change; director or secretary change; special resolution; capital reorganisation; other filing; annual return; director or secretary change; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; annual return; special resolution; other filing; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; charge registered; director or secretary change; director or secretary change; annual return; director or secretary change; director or secretary change']"
16,69,16_charge_registered_registereds_other,"['charge', 'registered', 'registereds', 'other', 'filing', 'returns', 'sequence', 'recent', 'annual', 'return']","['4 annual returns. 4 charge registereds. recent sequence: other filing; other filing; charge registered; charge registered; annual return; charge registered; annual return; annual return; annual return; charge registered', '3 annual returns. 5 charge registereds. recent sequence: other filing; special resolution; other filing; charge registered; charge registered; charge registered; charge registered; annual return; charge registered; annual return; annual return', '5 annual returns. 6 charge registereds. recent sequence: other filing; special resolution; charge registered; annual return; annual return; annual return; annual return; charge registered; charge registered; charge registered; charge registered; other filing; annual return; charge registered']"
17,62,17_auditor_resignation_annual_return,"['auditor', 'resignation', 'annual', 'return', 'recent', 'sequence', 'returns', 'other', 'filing', 'accounts']","['7 annual returns. 1 auditor resignation. recent sequence: other filing; annual return without accounts; annual return; annual return; annual return; annual return; annual return; annual return; auditor resignation', '8 annual returns. 1 auditor resignation. recent sequence: other filing; annual return without accounts; annual return; annual return; annual return; auditor resignation; annual return; annual return; annual return; annual return', '9 annual returns. 1 auditor resignation. recent sequence: other filing; annual return without accounts; annual return; annual return; annual return; annual return; annual return; auditor resignation; annual return; annual return; annual return']"
